rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
40,Pittsburgh,Pittsburgh,8.24990719058925,5.51719457744112,13.7671017680304,-43.5381530674596,11.978526186453,42,53,67.445380698248,277,40,241,35,0.575757575757576,0.151515151515152,19,5,22,11,#FFD39C,#FFDEB5,#FFD198,#1753A4,#F1D7AE,Pittsburgh plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Pittsburgh performs at a similar level regardless of the pace of the game.
41,James Madison,James Madison,8.48484715756526,5.28136252182535,13.7662096793906,30.9309791929611,20.0610276676855,36,60,71.013574142831,69,41,121,53,0.9375,0.34375,30,11,30,3,#FFD299,#FFE0B8,#FFD198,#F89392,#F3CDA4,James Madison plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,James Madison performs at a similar level regardless of the pace of the game.
42,Dayton,Dayton,9.74783177002367,3.97842218584472,13.7262539558684,-2.16534371156266,15.7319269825259,27,89,65.611777902,344,42,152,43,0.774193548387097,0.354838709677419,24,11,24,7,#FFCB8A,#FFE7CA,#FFD198,#F0F7DE,#F2D3A9,Dayton performs at a similar level against both good and bad teams.,Dayton performs at a similar level regardless of the pace of the game.
43,Oklahoma,Oklahoma 📉,7.4478435242,6.15948859668,13.60733212088,-1.57459620450485,-2.90431763381567,52,42,68.465590518702,223,43,61,45,0.5,0.15625,16,5,20,12,#FFD7A6,#FFDAAD,#FFD299,#F4F9DE,#E7E3BC,Oklahoma performs at a similar level against both good and bad teams.,Oklahoma performs at a similar level regardless of the pace of the game.
44,Drake,Drake,8.95264493039778,4.39596315845753,13.3486080888553,56.7782678495561,-3.16655551136013,32,78,68.850862303021,193,44,21,58,0.75,0.3125,24,10,27,6,#FFCF94,#FFE5C4,#FFD39B,#CD3C5C,#E7E3BC,Drake plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Drake performs at a similar level regardless of the pace of the game.
45,Nevada,Nevada,7.79500858027553,5.53865611749169,13.3336646977672,-14.0640052957329,-3.98489601165318,48,51,68.360882396471,236,46,171,42,0.6,0.333333333333333,18,10,25,7,#FFD5A1,#FFDEB5,#FFD39B,#A0CBD3,#E5E2BC,Nevada plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Nevada performs at a similar level regardless of the pace of the game.
46,Colorado State,Colorado State 📉,8.01613348286246,5.28567117119951,13.301804654062,44.1509766163558,28.0491467462251,46,59,67.650674768499,269,45,40,40,0.645161290322581,0.258064516129032,20,8,22,10,#FFD49F,#FFDFB8,#FFD39C,#E66575,#F5C39B,Colorado State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Colorado State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
47,Utah,Utah,5.7401059222604,7.224256807895,12.9643627301554,-16.4077773410076,13.0720747645536,71,30,71.26465290709,58,52,1,34,0.757575757575758,0.303030303030303,25,10,19,14,#FFE0BA,#FFD49F,#FFD49E,#91C2D1,#F1D6AC,Utah plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Utah performs at a similar level regardless of the pace of the game.
48,Northwestern,Northwestern,8.34400548351052,4.49476404298976,12.8387695265003,67.2244855985225,-11.9348330246041,40,71,65.7017972696,341,60,81,55,0.25,0.5,8,16,21,11,#FFD29B,#FFE4C3,#FFD49F,#AF1D4A,#D1D8BE,Northwestern plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Northwestern performs at a similar level regardless of the pace of the game.
49,Boise State,Boise State,7.21235232127741,5.5310755928458,12.7434279141232,-50.1680504836688,-29.4343059908493,53,52,67.9794039213102,255,47,126,52,0.4,0.166666666666667,12,5,20,10,#FFD8A8,#FFDEB5,#FFD5A0,#00429D,#A6C2C2,Boise State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Boise State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
50,Iowa,Iowa,12.2362085757298,0.390735913486978,12.6269444892168,-28.7379753851026,12.1078749098517,16,164,72.624862919,25,48,179,44,0.5625,0.375,18,12,18,14,#FFBE6C,#FFFCF9,#FFD5A1,#628EBE,#F1D7AE,Iowa plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Iowa performs at a similar level regardless of the pace of the game.
51,Indiana State,Indiana State,10.1866879374368,1.94550501220779,12.1321929496446,-15.6134673450332,-14.5992999908396,24,126,71.5920878804,49,49,56,41,0.6875,0.1875,22,6,27,6,#FFC985,#FFF3E5,#FFD7A4,#95C5D2,#CBD4BF,Indiana State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Indiana State performs at a similar level regardless of the pace of the game.
52,Grand Canyon,Grand Canyon,5.6852393466627,6.33173373688816,12.0169730835509,11.6868729611206,-11.4567358881211,72,40,69.958519358984,118,50,107,63,0.741935483870968,0.258064516129032,23,8,28,4,#FFE0BB,#FFD9AA,#FFD7A5,#FFD6C2,#D2D8BE,Grand Canyon performs at a similar level against both good and bad teams.,Grand Canyon performs at a similar level regardless of the pace of the game.
53,North Carolina St.,NC State,8.04688274126667,3.88103186476067,11.9279146060273,31.2530729837097,0.103581013669083,45,92,69.6763100169209,136,56,197,49,0.411764705882353,0.352941176470588,14,12,22,14,#FFD49E,#FFE8CB,#FFD7A6,#F79291,#EFE6BB,NC State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,NC State performs at a similar level regardless of the pace of the game.
54,Virginia Tech,Virginia Tech,9.80319627621673,1.92816551344715,11.7313617896639,-8.47486660653654,-30.8105125704769,26,127,68.4337962790373,229,58,5,50,0.516129032258065,0.387096774193548,16,12,18,14,#FFCB89,#FFF3E5,#FFD8A7,#C5DFD8,#A3C0C2,Virginia Tech performs at a similar level against both good and bad teams.,Virginia Tech plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
55,Maryland,Maryland 🥶,2.38754269163638,9.34201116526722,11.7295538569036,-3.3765523312239,17.24995093995,133,14,67.2551568466789,293,51,236,81,0.484848484848485,0.484848484848485,16,16,16,17,#FFF2E2,#FFC882,#FFD8A7,#E8F2DD,#F2D1A8,Maryland performs at a similar level against both good and bad teams.,Maryland performs at a similar level regardless of the pace of the game.
56,Kansas State,Kansas State,3.23307352631988,8.29423311879378,11.5273066451137,37.8817339472121,-12.3396381637213,117,22,69.0836295242963,175,53,187,79,0.53125,0.53125,17,17,19,14,#FFEDD8,#FFCE90,#FFD9A9,#EF7B83,#D0D7BE,Kansas State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kansas State performs at a similar level regardless of the pace of the game.
57,South Carolina,South Carolina,7.05090434396583,4.46704480677439,11.5179491507402,-5.18220869869584,-23.3621312996773,56,74,64.763427539,354,54,213,46,0.424242424242424,0.363636363636364,14,12,26,7,#FFD9AA,#FFE4C3,#FFD9A9,#DBEBDB,#B5C9C0,South Carolina performs at a similar level against both good and bad teams.,South Carolina plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
58,Providence,Providence,3.7509286744725,7.76576550688915,11.5166941813616,-9.29881274895678,49.7855740827447,107,26,68.9418230035976,187,55,249,68,0.666666666666667,0.484848484848485,22,16,21,13,#FFEBD2,#FFD197,#FFD9A9,#C0DCD7,#FAA882,Providence performs at a similar level against both good and bad teams.,Providence plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
59,Seton Hall,Seton Hall,5.018051241722,6.47016698968,11.488218231402,-17.7739883084203,12.8410076589294,87,34,67.6419772222874,270,65,12,57,0.65625,0.40625,21,13,20,12,#FFE4C3,#FFD9A9,#FFD9A9,#8CBCCF,#F1D6AD,Seton Hall plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Seton Hall performs at a similar level regardless of the pace of the game.
60,UCF,UCF,1.25489400553907,10.1169229053333,11.3718169108724,-5.37808292806464,21.9306844975866,156,13,70.1296083966919,108,57,70,83,0.625,0.375,20,12,17,15,#FFF8F0,#FFC378,#FFD9AA,#DAEBDB,#F3CBA2,UCF performs at a similar level against both good and bad teams.,UCF performs at a similar level regardless of the pace of the game.
61,Washington,Washington,8.33434657116573,2.92673671389773,11.2610832850635,9.42250118856103,2.85551608436869,41,109,72.0730258717,36,59,183,64,0.53125,0.34375,17,11,17,15,#FFD39B,#FFEDD8,#FFD9AB,#FFDEC7,#EFE3B8,Washington performs at a similar level against both good and bad teams.,Washington performs at a similar level regardless of the pace of the game.
62,Oregon,Oregon,6.4590086792709,4.71577867908667,11.1747873583576,35.0737748095456,-24.97027408558,63,68,68.7902487099626,198,68,186,54,0.441176470588235,0.382352941176471,15,13,23,11,#FFDCB1,#FFE3C0,#FFDAAB,#F28489,#B1C7C1,Oregon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Oregon plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
63,Yale,Yale,5.64896941167153,5.33023031324376,10.9791997249153,-4.87613941519217,2.00559191957153,73,57,66.455489834741,325,61,234,84,0.655172413793103,0.310344827586207,19,9,21,8,#FFE1BB,#FFDFB8,#FFDAAD,#DEEDDB,#EFE4B9,Yale performs at a similar level against both good and bad teams.,Yale performs at a similar level regardless of the pace of the game.
64,SMU,SMU 🥶,5.48329160468949,5.47874672727087,10.9620383319604,-6.41730227130087,56.8265311841298,78,54,69.1628171776706,172,64,169,59,0.516129032258065,0.161290322580645,16,5,19,12,#FFE2BD,#FFDEB6,#FFDAAD,#D3E7DA,#FB9F7A,SMU performs at a similar level against both good and bad teams.,SMU plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
65,Virginia,Virginia 💥,0.653321395481273,10.2089457227642,10.8622671182455,-51.7590952032558,-1.40610070364899,172,12,61.861147851,362,62,2,69,0.515151515151515,0.303030303030303,17,10,23,10,#FFFBF7,#FFC377,#FFDBAE,#00429D,#EBE5BC,Virginia plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Virginia performs at a similar level regardless of the pace of the game.
66,Utah State,Utah State 📉,6.85620869346997,3.92439667558212,10.7806053690521,-17.8502154214882,-7.10781104306143,59,90,70.52869968644,93,63,99,78,0.612903225806452,0.0967741935483871,19,3,25,6,#FFDAAD,#FFE7CA,#FFDBAE,#8BBCCF,#DDDEBD,Utah State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Utah State performs at a similar level regardless of the pace of the game.
