rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
11,Villanova,Villanova,12.8603439162996,8.67165022883959,21.5319941451392,-19.2940698899368,-25.0538716607024,10,25,64.5308585146667,347,34,30,8,#FFB65A,#FFC884,#FFB355,#9DC9D3,#C2D0BF,Villanova plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Villanova plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
12,UCLA,UCLA,11.5094379110482,9.24253394846722,20.7519718595155,-25.7379195529654,-46.1979248927336,15,17,67.2129638541,265,80,27,8,#FFBD6B,#FFC57C,#FFB65B,#86B5CC,#9CBCC3,UCLA plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UCLA plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
13,Purdue,Purdue,15.6873548734035,4.75472004475269,20.4420749181562,-22.4682335106271,21.6972240814715,4,77,67.6069116923247,246,42,29,8,#FFA635,#FFE1BB,#FFB75D,#8FC0D0,#F3CFA6,Purdue plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Purdue performs at a similar level regardless of the pace of the game.
14,Auburn,Auburn,8.35959691958912,11.9446690669501,20.3042659865392,46.0715779692826,1.91378646178735,32,6,72.1075650845333,26,26,28,6,#FFCF93,#FFB456,#FFB85E,#CC3B5B,#EFE4BA,Auburn plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Auburn performs at a similar level regardless of the pace of the game.
15,North Carolina,North Carolina,11.5299039285714,8.03978957689232,19.5696935054638,31.3963165492617,-9.08524658589796,14,34,71.2755678479333,46,236,29,10,#FFBD6B,#FFCC8D,#FFBA64,#ED7780,#DEDEBD,North Carolina plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,North Carolina performs at a similar level regardless of the pace of the game.
16,Memphis,Memphis,9.07981330560944,9.24105395246458,18.320867258074,59.0372964045031,1.49123010383601,26,18,71.1900016774,51,17,22,11,#FFCB8A,#FFC57C,#FFBF6E,#9E0B40,#EFE5BA,Memphis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
17,Arkansas,Arkansas,6.65635054284382,11.33671922508,17.9930697679238,23.2287887663719,-5.01548575054038,48,8,71.9050012966667,29,244,28,9,#FFD9A9,#FFB85E,#FFC071,#FA9A97,#E6E2BC,Arkansas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Arkansas performs at a similar level regardless of the pace of the game.
18,Illinois,Illinois,9.7134138623368,8.2086428901385,17.9220567524753,-34.6440805703422,-4.90771439497679,23,32,68.4601485323713,196,101,23,10,#FFC782,#FFCB8A,#FFC071,#6C99C2,#E6E2BC,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois performs at a similar level regardless of the pace of the game.
19,Texas,Texas,7.98101556247552,9.69243318195842,17.6734487444339,-47.716888263732,3.75483012093784,35,15,65.3756118313333,340,73,22,12,#FFD198,#FFC275,#FFC173,#4171B2,#EFE2B8,Texas plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Texas performs at a similar level regardless of the pace of the game.
20,Murray State,Murray State,10.5762101544608,7.01512666882827,17.5913368232891,43.5002206992775,-20.34547014144,18,41,67.6620229122423,243,10,28,3,#FFC377,#FFD39B,#FFC174,#D54460,#CAD4BF,Murray State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Murray State performs at a similar level regardless of the pace of the game.
21,Virginia Tech,Virginia Tech,11.4597239645105,6.06716399134743,17.526887955858,-9.2315788187158,26.5920440797249,16,56,65.0329017113333,343,39,23,13,#FFBE6C,#FFD9A9,#FFC174,#D0E5D9,#F4CAA1,Virginia Tech performs at a similar level against both good and bad teams.,Virginia Tech plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
22,Michigan,Michigan,11.0956470104361,6.17719001602434,17.2728370264605,12.8081689901603,37.3984571874149,17,54,68.0094288387925,227,133,19,15,#FFC070,#FFD8A7,#FFC276,#FFC7B7,#F6BE97,Michigan plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
23,Ohio State,Ohio State,12.57825335621,4.55047785927639,17.1287312154864,-18.7563108262392,7.82727033877875,12,84,66.6610335300133,296,126,20,12,#FFB75D,#FFE2BE,#FFC378,#9FCBD3,#F0DEB4,Ohio State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Ohio State performs at a similar level regardless of the pace of the game.
24,Connecticut,Connecticut,10.5281723444232,6.48305613492935,17.0112284793526,-23.4565219541083,73.8566210669039,20,47,66.6225868579467,301,99,23,10,#FFC378,#FFD6A3,#FFC378,#8CBDCF,#FC9773,Connecticut plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Connecticut plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
25,Saint Mary's,Saint Mary's,6.24283948308663,10.3641887279468,16.6070282110334,-17.9713799996999,40.1013376397897,58,13,65.589410602,335,72,25,8,#FFDBAE,#FFBE6C,#FFC57C,#A3CDD4,#F6BB94,Saint Mary's plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Saint Mary's plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
26,LSU,LSU,5.28931218619278,11.2048196011763,16.4941317873691,-40.8720067187852,39.2327255152016,73,9,69.738792608304,109,9,22,12,#FFE1BB,#FFB860,#FFC57D,#5A86BA,#F6BC95,LSU plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,LSU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
27,Alabama,Alabama,10.2723055671346,5.73264638777201,16.0049519549066,48.0295984508081,-35.394488890424,21,59,73.6904005493333,4,106,19,14,#FFC47B,#FFDBAD,#FFC780,#C53457,#AFC6C1,Alabama plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Alabama plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
28,Loyola Chicago,Loyola Chicago,6.45560135397766,9.19296434391079,15.6485656978885,-52.541918901959,-34.5521956811862,52,19,66.1155869338667,324,86,24,8,#FFDAAC,#FFC57D,#FFC883,#2D63AB,#B1C7C1,Loyola Chicago plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Loyola Chicago plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
29,Notre Dame,Notre Dame,10.5637492523394,4.72030493612533,15.2840541884648,17.7788381644988,-5.0983733409476,19,79,66.8509127523413,287,91,23,11,#FFC377,#FFE1BC,#FFC986,#FFB1A7,#E5E2BC,Notre Dame plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Notre Dame performs at a similar level regardless of the pace of the game.
30,Dayton,Dayton,7.04500291062588,8.21003682762697,15.2550397382529,48.0356640040001,3.97378967466289,44,31,65.03864865,342,285,24,11,#FFD7A4,#FFCB8A,#FFC986,#C53457,#EFE2B8,Dayton plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Dayton performs at a similar level regardless of the pace of the game.
31,Oklahoma State,Oklahoma State,2.2878149801286,12.7850489272388,15.0728639073674,10.2281470654508,-6.00865811785197,130,5,69.4572563551289,130,137,15,15,#FFF2E1,#FFAF4A,#FFCA88,#FFD2BF,#E4E1BC,Oklahoma State performs at a similar level against both good and bad teams.,Oklahoma State performs at a similar level regardless of the pace of the game.
32,San Diego State,San Diego State,0.824510091833422,13.3032122934435,14.1277223852769,29.2360994745229,-0.362086786761322,171,4,66.9705431987607,281,62,23,9,#FFFAF4,#FFAB42,#FFCD8F,#F18086,#EEE6BC,San Diego State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,San Diego State performs at a similar level regardless of the pace of the game.
33,Vermont,Vermont,9.58064802797273,4.46804950678104,14.0486975347538,-10.0572333516128,-7.25753673439379,24,85,66.2829825620667,317,44,27,6,#FFC884,#FFE3BF,#FFCE90,#CBE3D9,#E2E0BD,Vermont performs at a similar level against both good and bad teams.,Vermont performs at a similar level regardless of the pace of the game.
34,Davidson,Davidson,12.4392935434412,1.52185083372935,13.9611443771705,21.3403854253407,31.7589494297672,13,141,66.183158818,321,207,26,7,#FFB85F,#FFF5E9,#FFCE90,#FEA29C,#F5C49C,Davidson plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Davidson plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
35,Wisconsin,Wisconsin,5.56213463157621,8.22972125441859,13.7918558859948,54.9219956001265,-3.72530975211543,64,29,68.0626797101885,221,288,25,8,#FFDFB7,#FFCB8A,#FFCE92,#AD1B49,#E8E3BC,Wisconsin plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Wisconsin performs at a similar level regardless of the pace of the game.
36,San Francisco,San Francisco,6.56239448834605,7.14329980628318,13.7056942946292,-41.7532695261496,37.6396370726473,49,38,70.3458503011063,85,329,23,10,#FFD9AA,#FFD299,#FFCF92,#5883B9,#F6BE96,San Francisco plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,San Francisco plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
37,USC,USC,6.89966778353521,6.76910239919491,13.6687701827301,-0.728417255121976,-22.0310091875336,45,44,67.8643167917945,238,318,26,8,#FFD7A6,#FFD49F,#FFCF93,#FBFCDF,#C7D2BF,USC performs at a similar level against both good and bad teams.,USC performs at a similar level regardless of the pace of the game.
38,Michigan State,Michigan State,7.9896251554023,5.6685210080391,13.6581461634414,-11.2223623519149,18.5712703203473,34,61,69.3707691029753,134,74,23,13,#FFD198,#FFDBAE,#FFCF93,#C6DFD8,#F2D3A9,Michigan State performs at a similar level against both good and bad teams.,Michigan State performs at a similar level regardless of the pace of the game.
39,Providence,Providence,6.68820023096899,6.96824499480718,13.6564452257762,44.0286937203617,-19.5982126111947,47,42,67.10888001456,271,185,27,6,#FFD9A9,#FFD39C,#FFCF93,#D4425F,#CBD5BF,Providence plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Providence performs at a similar level regardless of the pace of the game.
40,TCU,TCU,5.48987014233238,8.14802116421268,13.6378913065451,19.9710266837565,-12.1992417693501,67,33,67.162851429102,267,265,21,13,#FFDFB8,#FFCC8B,#FFCF93,#FFA8A0,#D9DBBD,TCU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,TCU performs at a similar level regardless of the pace of the game.
41,Oklahoma,Oklahoma,6.35394325020664,7.26249252031481,13.6164357705215,11.2892235558662,68.222692538381,54,37,66.7779571969407,290,53,19,16,#FFDBAD,#FFD198,#FFCF93,#FFCEBC,#FB9D78,Oklahoma performs at a similar level against both good and bad teams.,Oklahoma plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
42,Texas A&M,Texas A&M,5.03924458486408,8.36529844966427,13.4045430345283,50.448403226082,42.5738157442903,82,26,68.4846739993144,192,224,26,13,#FFE2BE,#FFCA88,#FFD095,#BD2B52,#F7B992,Texas A&M plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Texas A&M plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
43,Indiana,Indiana,4.97808788199753,8.26604867782503,13.2441365598226,-22.8702974288465,-19.4085108605199,85,27,68.4878559961124,191,103,21,14,#FFE2BF,#FFCB8A,#FFD096,#8EBED0,#CCD5BF,Indiana plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Indiana performs at a similar level regardless of the pace of the game.
44,Xavier,Xavier,7.88489181954069,5.04881213602015,12.9337039555608,-16.8971888871678,42.3576769942396,36,71,70.1312105447041,92,124,23,13,#FFD299,#FFDFB7,#FFD199,#A9D0D4,#F7B992,Xavier plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Xavier plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
45,Boise State,Boise State,5.22008965298948,7.60524543603464,12.8253350890241,11.477647123243,40.483401080338,77,36,66.0627276378,325,328,26,8,#FFE1BC,#FFCF93,#FFD299,#FFCDBB,#F6BB94,Boise State performs at a similar level against both good and bad teams.,Boise State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
46,Wake Forest,Wake Forest,6.52938431397255,6.2361938211927,12.7655781351652,25.181294037755,37.2609264130119,50,51,71.7585024713333,36,16,25,10,#FFDAAB,#FFD8A6,#FFD29A,#F79291,#F6BF97,Wake Forest plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wake Forest plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
47,Washington State,Washington State,4.3560524870761,8.23765931587176,12.5937118029479,-9.88434415963961,-29.3187592886957,94,28,67.9259756661563,232,287,22,15,#FFE6C7,#FFCB8A,#FFD39B,#CCE3D9,#BACCC0,Washington State performs at a similar level against both good and bad teams.,Washington State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
48,Miami (Fla.),Miami (Fla.),8.67208881996269,3.90816695477545,12.5802557747381,30.9756811118555,49.6864815153807,30,91,68.8967807321004,166,320,27,10,#FFCD8F,#FFE6C7,#FFD39B,#EE7981,#F8B18B,Miami (Fla.) plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Miami (Fla.) plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
49,Mississippi State,Mississippi State,5.49723987064439,7.06276471582005,12.5600045864644,-21.9585066947915,24.8503086872893,66,40,67.4545994616991,253,11,18,16,#FFDFB8,#FFD29B,#FFD39C,#91C1D1,#F3CCA3,Mississippi State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Mississippi State performs at a similar level regardless of the pace of the game.
50,Seton Hall,Seton Hall,3.63358061875067,8.89538457422708,12.5289651929777,0.66209510552014,11.0807921493682,104,23,69.3534175273313,137,311,20,11,#FFEAD0,#FFC781,#FFD39C,#FFFCDD,#F1DBB1,Seton Hall performs at a similar level against both good and bad teams.,Seton Hall performs at a similar level regardless of the pace of the game.
51,Creighton,Creighton,3.3792335996881,8.96239090014297,12.3416244998311,51.5080837791562,59.1079853124782,108,21,68.4279898596162,199,136,23,12,#FFEBD3,#FFC680,#FFD49D,#B92750,#FAA781,Creighton plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Creighton plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
52,Colorado State,Colorado State,9.06037175306503,3.15336172143324,12.2137334744983,-10.7806725371255,14.839247991461,27,110,66.7309018589367,292,208,24,6,#FFCB8A,#FFEBD2,#FFD49E,#C8E1D8,#F1D7AD,Colorado State performs at a similar level against both good and bad teams.,Colorado State performs at a similar level regardless of the pace of the game.
53,VCU,VCU,0.416273314420309,11.7043410361141,12.1206143505344,-0.416560090434992,36.4882140635666,180,7,69.9324602407887,101,261,22,10,#FFFCF9,#FFB559,#FFD49F,#FCFDDF,#F5BF98,VCU performs at a similar level against both good and bad teams.,VCU plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
54,Saint John's,Saint John's,7.18535112453358,4.79971530084488,11.9850664253785,14.0906370448896,13.4755663035904,43,76,74.32674596,2,177,17,15,#FFD6A2,#FFE1BB,#FFD5A0,#FFC1B3,#F1D8AE,Saint John's plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Saint John's performs at a similar level regardless of the pace of the game.
55,SMU,SMU,5.80442706989296,6.15991796392489,11.9643450338178,19.0139763991804,2.96261656568919,62,55,69.5917939485026,117,89,24,9,#FFDEB4,#FFD8A7,#FFD5A0,#FFACA3,#EFE3B9,SMU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,SMU performs at a similar level regardless of the pace of the game.
56,Colorado,Colorado,4.99102660072347,6.96588202339324,11.9569086241167,-8.45751899263408,15.7004623366641,84,43,68.8675459321897,169,340,21,12,#FFE2BF,#FFD39C,#FFD5A0,#D4E7DA,#F1D6AC,Colorado performs at a similar level against both good and bad teams.,Colorado performs at a similar level regardless of the pace of the game.
57,UAB,UAB,8.51054153051706,3.42349438460754,11.9340359151246,1.18203419512486,10.3417365974841,31,104,70.1000158287313,94,5,25,8,#FFCE91,#FFE9CE,#FFD5A0,#FFF9DC,#F0DBB1,UAB performs at a similar level against both good and bad teams.,UAB performs at a similar level regardless of the pace of the game.
58,Florida,Florida,6.46550157346951,5.26140542138894,11.7269069948584,-19.5018759436984,13.3831192208985,51,68,67.268680952956,261,66,20,14,#FFDAAC,#FFDEB4,#FFD6A2,#9CC8D3,#F1D8AE,Florida plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Florida performs at a similar level regardless of the pace of the game.
59,New Mexico State,New Mexico State,5.25695578632267,6.29361418610197,11.5505699724246,99.009900990099,-4.14288605647531,75,49,67.6274203128307,245,155,24,7,#FFE1BB,#FFD7A6,#FFD6A3,#93003A,#E7E3BC,New Mexico State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,New Mexico State performs at a similar level regardless of the pace of the game.
60,Vanderbilt,Vanderbilt,4.96532937863578,6.55043398723293,11.5157633658687,-18.6140613850729,48.9331464580208,86,46,68.8186468035169,175,216,19,17,#FFE2BF,#FFD6A2,#FFD6A4,#A0CBD3,#F8B28B,Vanderbilt plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Vanderbilt plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
61,Rutgers,Rutgers,3.83380614555203,7.62690256877308,11.4607087143251,51.4244768000362,3.57327646890814,100,35,67.142942561612,268,59,18,14,#FFE9CD,#FFCF93,#FFD7A4,#B92750,#EFE3B8,Rutgers plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Rutgers performs at a similar level regardless of the pace of the game.
62,South Dakota State,South Dakota State,12.6631194423232,-1.273383728499,11.3897357138242,28.1520455136194,-14.4497431081638,11,216,70.6315474967919,69,46,28,5,#FFB75C,#F0F6FA,#FFD7A5,#F28589,#D5D9BE,South Dakota State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,South Dakota State performs at a similar level regardless of the pace of the game.
63,Maryland,Maryland,7.73971278426173,3.51042412515725,11.250136909419,11.6810964488178,-35.0714868655046,38,101,68.0579301227675,222,277,15,17,#FFD39B,#FFE9CD,#FFD7A6,#FFCCBA,#B0C6C1,Maryland performs at a similar level against both good and bad teams.,Maryland plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
64,Virginia,Virginia,4.50716747164113,6.69029212356077,11.1974595952019,14.7208813639596,-3.95322723362399,90,45,61.605383758,358,255,21,14,#FFE5C5,#FFD5A0,#FFD7A6,#FFBFB1,#E7E3BC,Virginia plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Virginia performs at a similar level regardless of the pace of the game.
65,Oregon,Oregon,7.60480970342815,3.57319516549101,11.1780048689192,18.7080874043345,46.0408356292637,40,98,68.856607018539,171,70,19,15,#FFD39D,#FFE8CC,#FFD8A6,#FFADA4,#F7B58E,Oregon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Oregon plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
66,Syracuse,Syracuse,10.1037349076979,0.879011358729194,10.9827462664271,-41.0477699071522,45.8427713512767,22,160,69.5777083860119,120,94,16,17,#FFC57D,#FFF9F2,#FFD8A8,#5A85BA,#F7B58E,Syracuse plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Syracuse plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
67,BYU,BYU,6.09354861490497,4.8500360459437,10.9435846608487,-23.8519769979504,-73.646131931311,60,73,69.5566472583771,123,173,22,11,#FFDCB0,#FFE0BA,#FFD8A8,#8BBBCE,#70A6C7,BYU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,BYU plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
68,Missouri State,Missouri State,8.92369398177022,1.95308086784062,10.8767748496108,0.31971547717975,-36.7199430287661,28,132,68.8084799239788,176,203,23,11,#FFCC8C,#FFF2E3,#FFD9A9,#FFFDDE,#ADC5C1,Missouri State performs at a similar level against both good and bad teams.,Missouri State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
69,Saint Bonaventure,Saint Bonaventure,6.32656326799211,4.46260403099984,10.7891672989919,-7.91189541042051,-8.19341721534258,56,86,67.0273772845687,274,40,23,10,#FFDBAD,#FFE3BF,#FFD9A9,#D6E9DA,#E0DFBD,Saint Bonaventure performs at a similar level against both good and bad teams.,Saint Bonaventure performs at a similar level regardless of the pace of the game.
70,Marquette,Marquette,5.13282703807662,5.53538742266514,10.6682144607418,19.322177562835,-60.9173185790194,80,64,72.4383441126667,19,134,19,13,#FFE1BD,#FFDCB0,#FFD9AA,#FFABA2,#81AFC5,Marquette plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Marquette plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
71,Chattanooga,Chattanooga,5.31531471273512,5.28076378584687,10.596078498582,48.2933288657431,-50.9729503256663,72,67,66.3750149026667,313,157,25,8,#FFE0BA,#FFDDB4,#FFDAAB,#C43357,#93B8C3,Chattanooga plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Chattanooga plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
72,North Texas,North Texas,2.15275892244006,8.22757347108462,10.3803323935247,-17.0379268428048,-5.52456524114276,135,30,61.6552136913333,357,209,23,7,#FFF2E3,#FFCB8A,#FFDAAD,#A8CFD4,#E5E1BC,North Texas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,North Texas performs at a similar level regardless of the pace of the game.
