rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
11,Ohio State,Ohio State,6.44827495596537,14.9348906614562,21.3831656174216,-36.6398262878907,-18.0761469830615,57,4,65.501902265154,263,57,25,10,#FFDCB1,#FFAA3F,#FFB860,#7DACC9,#CED6BE,Ohio State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Ohio State performs at a similar level regardless of the pace of the game.
12,Syracuse,Syracuse,9.08379388230425,12.1963878015587,21.280181683863,32.1722619719361,19.0680291525114,23,11,62.372035736,341,319,28,6,#FFCE91,#FFB962,#FFB960,#EF7B83,#F2D2A8,Syracuse plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Syracuse performs at a similar level regardless of the pace of the game.
13,Creighton,Creighton,18.2879865243081,2.6367258165598,20.9247123408679,-17.5687996938922,63.0173037514621,1,115,66.0588127509441,229,97,27,8,#FF9D23,#FFF0DD,#FFBA63,#B8D8D6,#FBA27C,Creighton plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Creighton plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
14,VCU,VCU,6.32975100239876,14.5891438828492,20.9188948852479,23.1441072125775,-1.99302772081321,58,5,70.7235366048667,23,106,29,6,#FFDDB2,#FFAC44,#FFBA63,#FDA09A,#EBE5BC,VCU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,VCU performs at a similar level regardless of the pace of the game.
15,Gonzaga,Gonzaga,10.233616852575,10.4714410909345,20.7050579435096,11.4308163025208,23.2781987922454,19,14,66.5631422104185,194,58,28,7,#FFC884,#FFC378,#FFBA65,#FFD0BD,#F3CDA4,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
16,Connecticut,Connecticut,8.26183438490487,12.3636959757597,20.6255303606646,1.19856709031134,-22.757564128246,34,10,65.6969405086593,252,60,32,7,#FFD39B,#FFB860,#FFBB65,#FFFADC,#C5D1BF,Connecticut performs at a similar level against both good and bad teams.,Connecticut performs at a similar level regardless of the pace of the game.
17,Villanova,Villanova,9.03825576496214,11.2376365828509,20.275892347813,-52.1142983961531,-30.1401962580097,24,13,68.5307485228605,96,160,28,6,#FFCF92,#FFBF6F,#FFBC68,#5A85BA,#B8CAC0,Villanova plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Villanova plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
18,Pittsburgh,Pittsburgh,11.4061540071962,8.44058963752665,19.8467436447228,-35.8696500273254,63.2063875418559,16,29,64.3145427942,307,283,26,10,#FFC276,#FFCF92,#FFBD6B,#7FAEC9,#FBA17C,Pittsburgh plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Pittsburgh plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
19,Kentucky,Kentucky,11.5371838226279,7.39788654650853,18.9350703691365,-2.61381601508541,48.3714403351218,15,43,66.2608850596127,214,63,27,13,#FFC174,#FFD5A0,#FFC072,#F4F9DE,#F8B28B,Kentucky performs at a similar level against both good and bad teams.,Kentucky plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
20,Cincinnati,Cincinnati,5.10336544145724,13.6546918983392,18.7580573397965,35.6235077324755,71.9569479917565,75,7,64.1058282346,316,66,27,7,#FFE3C1,#FFB150,#FFC173,#E96D7A,#FC9873,Cincinnati plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Cincinnati plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
21,Iowa,Iowa,12.1648826227127,6.35222132961016,18.5171039523228,-56.5635768330964,16.4202119858361,11,56,70.8928782112667,20,170,21,12,#FFBE6C,#FFDBAD,#FFC275,#4E7BB6,#F2D5AB,Iowa plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Iowa performs at a similar level regardless of the pace of the game.
22,Memphis,Memphis,9.7748981783193,8.6436902225442,18.4185884008635,74.5740495735283,0.455924192970525,21,27,69.6633368250333,50,93,23,10,#FFCB89,#FFCE90,#FFC276,#93003A,#EFE6BB,Memphis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Memphis performs at a similar level regardless of the pace of the game.
23,UCLA,UCLA,10.8611397048241,7.46063118070363,18.3217708855277,18.2521972642724,-33.9215212433721,18,42,70.870066482,21,33,26,11,#FFC57C,#FFD49F,#FFC276,#FFB4A9,#B1C7C1,UCLA plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,UCLA plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
24,North Carolina,North Carolina,7.31881314578891,9.91370478944563,17.2325179352345,44.0928817484506,17.2250410666978,44,16,71.1288999986667,18,108,25,9,#FFD8A7,#FFC67F,#FFC67E,#DC4B64,#F2D4AA,North Carolina plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,North Carolina performs at a similar level regardless of the pace of the game.
25,Harvard,Harvard,8.61932059581556,8.19181800936101,16.8111386051766,11.5986082612336,-25.8667232153416,29,34,65.6213429720651,255,184,26,5,#FFD197,#FFD096,#FFC782,#FFCFBD,#BFCEC0,Harvard performs at a similar level against both good and bad teams.,Harvard plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
26,Oklahoma State,Oklahoma State,8.40298833680952,8.37929429115071,16.7822826279602,-99.009900990099,19.2431663875168,32,30,69.53623362842,55,12,20,14,#FFD29A,#FFCF93,#FFC782,#00429D,#F2D1A8,Oklahoma State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Oklahoma State performs at a similar level regardless of the pace of the game.
27,Oregon,Oregon,11.979780210905,4.72878792091535,16.7085681318203,17.8539681459652,-96.1957237581442,13,78,69.1135663846513,69,235,24,10,#FFBF6F,#FFE4C2,#FFC882,#FFB5AA,#70A6C7,Oregon plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Oregon plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
28,Baylor,Baylor,12.2018332736024,4.50218151155305,16.7040147851555,-16.3366416799816,-53.362963355524,10,83,63.7432848251333,327,247,23,13,#FFBE6C,#FFE5C5,#FFC882,#BDDBD7,#8DB5C4,Baylor plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Baylor plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
29,Iowa State,Iowa State,12.1548300373134,4.45738771270989,16.6122177500233,-43.0616955306928,-32.5567106250037,12,86,71.2621914066667,16,10,26,10,#FFBE6D,#FFE5C5,#FFC883,#6E9CC3,#B3C8C1,Iowa State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Iowa State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
30,New Mexico,New Mexico,8.48286647206061,7.819350399425,16.3022168714856,4.29259965285297,-44.8881545563463,30,38,66.1938183074916,222,217,27,7,#FFD199,#FFD29A,#FFC985,#FFEDD3,#9DBDC3,New Mexico performs at a similar level against both good and bad teams.,New Mexico plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
31,San Diego State,San Diego State,3.2307810359097,13.0704667049949,16.3012477409046,4.35433904099171,-28.7343552965013,107,9,65.45664181189,267,182,27,7,#FFEDD8,#FFB457,#FFC985,#FFEDD2,#BACCC0,San Diego State performs at a similar level against both good and bad teams.,San Diego State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
32,SMU,SMU,5.73573328350065,9.65200220255101,15.3877354860517,53.3644458484943,8.86849467329203,69,20,66.3129724548544,209,15,27,10,#FFE0BA,#FFC883,#FFCC8C,#BC2B52,#F0DDB3,SMU plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,SMU performs at a similar level regardless of the pace of the game.
33,Saint Louis,Saint Louis,1.33368666203199,13.4385363873647,14.7722230493967,25.6953893385929,39.6796847520538,149,8,68.2281175142123,109,250,26,7,#FFF7EE,#FFB252,#FFCE91,#F99594,#F6BB94,Saint Louis plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Saint Louis plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
34,BYU,BYU,8.84444283115672,5.56675755213153,14.4112003832882,17.721167171193,8.02299964793577,27,64,73.531294196,5,6,24,10,#FFD094,#FFDFB7,#FFCF93,#FFB6AA,#F0DEB3,BYU plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,BYU performs at a similar level regardless of the pace of the game.
35,Oklahoma,Oklahoma,10.0555994402985,4.34566470743337,14.4012641477319,32.1578275733206,-10.372065031495,20,90,71.7146934653333,14,300,24,9,#FFC986,#FFE6C7,#FFCF93,#EF7B83,#DCDDBD,Oklahoma plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Oklahoma performs at a similar level regardless of the pace of the game.
36,Wichita State,Wichita State,5.99734647352405,8.25942402091796,14.256770494442,37.4648189011277,-11.7803084945493,62,31,66.6222705874351,192,245,28,7,#FFDFB6,#FFD095,#FFD095,#E66575,#D9DCBD,Wichita State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wichita State performs at a similar level regardless of the pace of the game.
37,Stanford,Stanford,6.91769604710656,7.33784631611611,14.2555423632227,-25.3996114263916,4.765588788528,50,45,67.5400173778366,143,140,23,13,#FFDAAB,#FFD5A0,#FFD095,#99C7D2,#EFE1B7,Stanford plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Stanford performs at a similar level regardless of the pace of the game.
38,Dayton,Dayton,8.25562400663368,5.91609213018417,14.1717161368179,57.4536508057022,-48.6377869213699,35,60,66.3378464652688,206,142,27,10,#FFD39B,#FFDDB3,#FFD095,#AF1C4A,#96B9C3,Dayton plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Dayton plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
39,Arkansas,Arkansas,6.50610412000266,7.48899140471748,13.9950955247201,-27.9938424871992,78.5154774791669,55,40,72.4443929426667,9,1,22,12,#FFDCB0,#FFD49F,#FFD196,#90C1D1,#FE926E,Arkansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Arkansas plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
40,Saint John's,Saint John's,3.3912251274387,9.87389410581023,13.2651192332489,57.0074344057162,-67.2907872560823,101,17,68.5561204891333,94,229,20,13,#FFEDD6,#FFC780,#FFD39C,#B01E4B,#74A8C6,Saint John's plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Saint John's plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
41,Louisiana Tech,Louisiana Tech,3.34573187688635,9.82549404710537,13.1712259239917,-44.4835409075273,-0.23287351778923,103,18,71.2208284946667,17,90,28,8,#FFEDD6,#FFC781,#FFD39D,#6B98C1,#EEE6BC,Louisiana Tech plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Louisiana Tech performs at a similar level regardless of the pace of the game.
42,Maryland,Maryland,3.47405188316258,9.6691824113806,13.1432342945432,32.7975378616214,-49.0536215731181,100,19,69.3825000514627,59,82,18,14,#FFECD5,#FFC883,#FFD39D,#EE7881,#95B9C3,Maryland plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Maryland plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
43,Florida State,Florida State,6.15773543976546,6.75219165178572,12.9099270915512,-0.549209609641786,-15.1778791913919,60,51,67.9540703130249,128,248,22,14,#FFDEB5,#FFD8A8,#FFD49F,#FCFDDF,#D3D8BE,Florida State performs at a similar level against both good and bad teams.,Florida State performs at a similar level regardless of the pace of the game.
44,Providence,Providence,8.8642024820096,3.7683614114952,12.6325638935048,-2.03754976700923,-14.1668082782813,26,103,65.144464025318,278,62,23,12,#FFCF94,#FFE9CE,#FFD5A1,#F6FADE,#D5D9BE,Providence performs at a similar level against both good and bad teams.,Providence performs at a similar level regardless of the pace of the game.
45,Georgetown,Georgetown,7.24423604755345,5.21489386221258,12.459129909766,14.0354467593629,-20.933423230281,45,69,65.6090356526411,257,3,17,16,#FFD8A8,#FFE1BC,#FFD6A2,#FFC5B5,#C8D3BF,Georgetown plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Georgetown performs at a similar level regardless of the pace of the game.
46,Indiana,Indiana,4.23498396771965,8.12214461377741,12.3571285814971,47.9003987512754,57.0115780262779,84,35,69.652619596716,52,73,16,16,#FFE8CC,#FFD196,#FFD6A3,#CF3D5D,#FAA882,Indiana plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Indiana plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
47,Massachusetts,Massachusetts,4.11284290136095,7.85637989199988,11.9692227933608,-1.22184608280361,12.312679058052,86,37,72.1438161146667,12,201,24,9,#FFE9CD,#FFD29A,#FFD7A6,#FAFCDF,#F1D9AF,Massachusetts performs at a similar level against both good and bad teams.,Massachusetts performs at a similar level regardless of the pace of the game.
48,Arizona State,Arizona State,5.25341947944043,6.67404178525538,11.9274612646958,-60.374230921618,-14.315504426344,72,53,69.170018655716,66,32,22,11,#FFE3BF,#FFD9A9,#FFD7A6,#4172B2,#D4D9BE,Arizona State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Arizona State performs at a similar level regardless of the pace of the game.
49,Saint Joseph's,Saint Joseph's,6.80313198007063,5.07236619804571,11.8754981781163,4.91027969456403,-34.383144272421,51,73,66.1188018726227,227,261,24,10,#FFDAAD,#FFE2BE,#FFD7A6,#FFEAD1,#B0C7C1,Saint Joseph's performs at a similar level against both good and bad teams.,Saint Joseph's plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
50,Illinois,Illinois,2.29947587309316,9.54955707275076,11.8490329458439,-24.5913283819737,-54.5464532108566,126,22,63.6945694592,330,338,20,15,#FFF2E3,#FFC884,#FFD8A6,#9CC9D3,#8BB4C4,Illinois plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Illinois plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
51,North Dakota State,North Dakota State,8.15625778851279,3.68702167148921,11.843279460002,2.55511070006508,8.55490043284125,37,104,65.5276035904367,261,69,21,9,#FFD39D,#FFEACF,#FFD8A6,#FFF4D8,#F0DDB3,North Dakota State performs at a similar level against both good and bad teams.,North Dakota State performs at a similar level regardless of the pace of the game.
52,Minnesota,Minnesota,7.37818580080956,4.35515704602856,11.7333428468381,14.267882806754,3.44201084087347,42,89,65.7855901962917,242,54,23,14,#FFD7A6,#FFE6C7,#FFD8A7,#FFC4B5,#EFE3B8,Minnesota plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Minnesota performs at a similar level regardless of the pace of the game.
53,Kansas State,Kansas State,2.68612478376372,8.97269736172311,11.6588221454868,-17.4018136935145,-23.3089991628734,114,25,65.7047146463379,250,23,21,12,#FFF0DE,#FFCC8C,#FFD8A8,#B9D9D6,#C4D1BF,Kansas State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Kansas State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
54,Utah,Utah,4.01066055477195,7.38716164396367,11.3978221987356,-10.4593874441817,89.5362526755591,89,44,66.0034491031509,231,25,19,12,#FFE9CE,#FFD5A0,#FFD9AA,#D5E8DA,#FE926E,Utah performs at a similar level against both good and bad teams.,Utah plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
55,George Washington,George Washington,4.06011610673841,7.28042620609008,11.3405423128285,-12.620133101717,4.78439201658531,88,47,67.3641778845037,150,39,23,10,#FFE9CE,#FFD5A1,#FFD9AA,#CCE3D9,#EFE1B7,George Washington performs at a similar level against both good and bad teams.,George Washington performs at a similar level regardless of the pace of the game.
56,Xavier,Xavier,7.13772019265319,4.13639164176569,11.2741118344189,9.80158924978628,15.8493560651659,47,96,66.0761622219411,228,46,20,14,#FFD9A9,#FFE7CA,#FFD9AB,#FFD6C2,#F2D5AC,Xavier performs at a similar level against both good and bad teams.,Xavier performs at a similar level regardless of the pace of the game.
57,Texas,Texas,4.58951793021653,6.67523160493982,11.2647495351563,29.8726326452978,76.5926980045827,78,52,68.9212012138953,78,31,23,12,#FFE6C7,#FFD9A9,#FFDAAB,#F28489,#FD936F,Texas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Texas plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
58,New Mexico State,New Mexico State,6.62166722064121,4.43592034206217,11.0575875627034,17.0883337986213,-43.6022873768019,52,88,67.9696526582229,127,89,26,9,#FFDBAF,#FFE5C6,#FFDAAC,#FFB8AC,#9FBEC2,New Mexico State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,New Mexico State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
59,Clemson,Clemson,1.79414287456576,9.2540823888751,11.0482252634409,-39.4136857758218,50.143093176943,136,24,60.8906349013333,349,18,23,13,#FFF5E9,#FFCA88,#FFDAAC,#77A5C6,#F8B089,Clemson plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Clemson plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
60,Iona,Iona,14.2270979462682,-3.25010194743539,10.9769959988328,0.90958725729725,24.7310641670472,5,243,70.1605876729333,38,203,22,11,#FFB354,#D8E7F3,#FFDAAD,#FFFBDD,#F3CBA3,Iona performs at a similar level against both good and bad teams.,Iona performs at a similar level regardless of the pace of the game.
61,Marquette,Marquette,5.74858362461196,5.21952335629782,10.9681069809098,-47.952569041146,-9.36284784888865,68,68,66.754925850695,183,193,18,14,#FFE0B9,#FFE1BC,#FFDAAD,#6390BE,#DDDEBD,Marquette plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Marquette performs at a similar level regardless of the pace of the game.
62,Manhattan,Manhattan,2.26704410026479,8.53904298467935,10.8060870849441,41.2286903307968,10.2720054090644,128,28,70.0292315748567,41,278,25,8,#FFF2E3,#FFCE91,#FFDBAE,#E1566B,#F0DBB1,Manhattan plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Manhattan performs at a similar level regardless of the pace of the game.
63,Southern Mississippi,Southern Mississippi,6.45252181361144,4.20896671343542,10.6614885270469,-26.7923125314684,-10.5364322736804,56,94,64.5605576768061,297,59,27,7,#FFDCB1,#FFE7C9,#FFDBAF,#93C4D2,#DBDDBD,Southern Mississippi plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Southern Mississippi performs at a similar level regardless of the pace of the game.
64,California,California,5.97113451238374,4.49668848217287,10.4678229945566,-28.3876214837828,41.2776330606435,64,84,66.5344724605278,198,149,21,14,#FFDFB7,#FFE5C5,#FFDCB1,#8FC0D0,#F6B992,California plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,California plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
65,Saint Mary's,Saint Mary's,6.52118461840794,3.85877662321301,10.379961241621,-52.9557810709775,51.0944810586463,54,100,64.2004790609333,311,95,22,12,#FFDCB0,#FFE9CD,#FFDCB1,#5883BA,#F8AF88,Saint Mary's plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Saint Mary's plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
66,West Virginia,West Virginia,7.8309422591707,2.54053881326841,10.3714810724391,-40.5301988265513,19.7552448464394,40,121,68.7040854197653,87,7,17,16,#FFD5A0,#FFF0DE,#FFDCB1,#74A2C5,#F2D1A8,West Virginia plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,West Virginia performs at a similar level regardless of the pace of the game.
67,LSU,LSU,5.14046578792444,5.1036685250533,10.2441343129777,-1.02935685657768,-21.0015917920176,74,72,70.0195969406,43,99,20,14,#FFE3C1,#FFE2BD,#FFDDB2,#FAFCDF,#C8D3BF,LSU performs at a similar level against both good and bad teams.,LSU performs at a similar level regardless of the pace of the game.
68,NC State,NC State,7.3810264590636,2.58039960377464,9.96142606283824,20.2071207128648,-33.4181130088745,41,118,67.3347141326562,152,295,22,14,#FFD7A6,#FFF0DD,#FFDEB4,#FFACA3,#B2C7C1,NC State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,NC State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
69,Boise State,Boise State,9.11398360298151,0.802968701938022,9.91695230491954,-11.7174302387086,38.6591462098498,22,153,66.1683520770915,223,188,19,13,#FFCE91,#FFFAF4,#FFDEB5,#D0E5D9,#F6BC95,Boise State performs at a similar level against both good and bad teams.,Boise State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
70,UNLV,UNLV,2.43856063466513,7.46892081742916,9.90748145209428,-32.373677025097,10.4068363564106,122,41,68.1306359339343,118,331,20,13,#FFF2E1,#FFD49F,#FFDEB5,#86B6CD,#F1DBB1,UNLV plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,UNLV performs at a similar level regardless of the pace of the game.
71,Mercer,Mercer,5.32056760394895,4.31537664716373,9.63594425111268,-50.5059611403346,-52.4829044822997,71,91,66.2466583438229,216,80,24,9,#FFE2BF,#FFE6C7,#FFDFB7,#5E89BC,#8FB6C4,Mercer plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Mercer plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
72,Colorado,Colorado,2.52949228846482,6.89205380422441,9.42154609268923,-67.9308322705972,40.8652237395847,118,50,66.9940887069839,176,71,22,13,#FFF1E0,#FFD7A6,#FFE0B8,#2960AA,#F6BA92,Colorado plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Colorado plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
73,Nebraska,Nebraska,1.01009128304719,8.23918348063766,9.24927476368485,41.3078021547246,-14.5908254426453,158,33,66.9513201533221,178,11,19,13,#FFF9F2,#FFD095,#FFE0BA,#E0566B,#D4D9BE,Nebraska plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Nebraska performs at a similar level regardless of the pace of the game.
